Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
That,That,that,151.28,151.49,,"dollars,",dollars,dollars,151.92,152.44
means,means,means,151.49,151.76,,depending,depending,depending,152.72,153.07
not,not,not,151.76,151.98,,on,on,on,153.07,153.14
being,being,being,151.98,152.29,,the,the,the,153.139999,153.219999
late.,late,late,152.29,152.7,,market.,market,market,153.22,153.66
He,He,he,153.2,153.39,,Hatchlings,Hatchlings,<unk>,154.44,154.87
grinned,grinned,<unk>,153.389999,153.729999,,could,could,could,154.889999,155.069999
for,for,for,153.76,153.92,,go,go,go,155.07,155.22
sounding,sounding,sounding,153.92,154.31,,for,for,for,155.219999,155.399999
so,so,so,154.34,154.75,,well,well,well,155.4,155.63
smart.,smart,smart,154.75,155.24,,over,over,over,155.63,155.85
"No,",No,no,156.12,156.67,,one,one,one,155.849999,156.129999
Lyra,Lyra,<unk>,156.92,157.31,,hundred,hundred,hundred,156.13,156.37
whispered.,whispered,whispered,157.32,157.84,,dollars,dollars,dollars,156.37,156.7
That's,That's,that's,158.049999,158.359999,,each.,each,each,156.74,157.18
"punctual,",punctual,punctual,158.41,159.29,,"Wow,",Wow,wow,157.92,158.38
not,not,not,159.53,159.7,,that's,that's,that's,158.809999,159.009999
punctuation.,punctuation,punctuation,159.75,160.72,,a,a,a,159.009999,159.069999
Punctuation,Punctuation,punctuation,161.279999,161.979999,,lot,lot,lot,159.07,159.25
is,is,is,161.98,162.15,,of,of,of,159.25,159.34
periods,periods,periods,162.190001,162.780001,,"cold,",cold,cold,159.36,159.76
and,and,and,162.78,163.03,,hard,hard,hard,159.759999,160.129999
commas,commas,commas,163.03,163.47,,cash.,cash,cash,160.129999,160.829999
and,and,and,163.47,163.65,,I,I,i,161.25,161.38
stuff.,stuff,stuff,163.65,163.95,,could,could,could,161.379999,161.519999
Caleb's,Caleb's,<unk>,165.07,165.19,,probably,probably,probably,161.52,161.76
face,face,face,165.21,165.49,,buy,buy,buy,161.76,161.96
got,got,got,165.49,165.69,,a,a,a,161.959999,162.029999
red,red,red,165.69,165.94,,whole,whole,whole,162.029999,162.239999
from,from,from,165.94,166.21,,pony,pony,pony,162.26,162.72
embarrassment.,embarrassment,embarrassment,166.22,166.79,,with,with,with,162.72,162.86
I,I,i,167.63,167.81,,that,that,that,162.87,163.14
knew,knew,knew,167.81,168.02,,kind,kind,kind,163.14,163.34
"that,",that,that,168.02,168.4,,of,of,of,163.34,163.49
I,I,i,168.51,168.75,,"money,",money,money,163.49,163.83
was,was,was,168.76,169.11,,Tully,Tully,tully,164.2,164.48
just,just,just,169.12,169.59,,said.,said,said,164.48,164.76
testing,testing,testing,169.6,170.12,,Mr,'Mr,<unk>,165.78,166.35
you!,you,you,170.12,170.36,,Hornswoggle,Hornswoggle,,166.36,166.521
Alright,Alright,alright,171.55,172.22,,got,got,got,166.52,166.71
"class,",class,class,172.219999,172.719999,,a,a,a,166.71,166.77
we,we,we,173.139999,173.319999,,phone,phone,phone,166.77,167.02
are,are,are,173.32,173.37,,call,call,call,167.02,167.33
going,going,going,173.37,173.59,,and,and,and,167.37,167.53
to,to,to,173.59,173.72,,quickly,quickly,quickly,167.53,167.88
read,read,read,173.719999,174.019999,,returned,returned,returned,167.88,168.24
each,each,each,174.08,174.38,,to,to,to,168.24,168.31
sentence,sentence,sentence,174.38,174.8,,the,the,the,168.31,168.4
"together,",together,together,174.799999,175.319999,,library.,library,library,168.4,168.94
and,and,and,175.559999,175.749999,,The,The,the,169.52,169.65
then,then,then,175.75,175.86,,Gumshoe,Gumshoe,<unk>,169.65,169.98
you,you,you,175.86,175.97,,gang,gang,gang,169.98,170.29
can,can,can,175.969999,176.119999,,huddled,huddled,huddled,170.3,170.62
help,help,help,176.12,176.33,,close,close,close,170.62,171.07
me,me,me,176.33,176.46,,and,and,and,171.2,171.36
figure,figure,figure,176.46,176.79,,tried,tried,tried,171.36,171.62
out,out,out,176.79,176.98,,to,to,to,171.62,171.71
what,what,what,177.009999,177.259999,,make,make,make,171.71,171.88
important,important,important,177.28,177.74,,a,a,a,171.88,171.93
parts,parts,parts,177.74,178.08,,plan.,plan,plan,171.929999,172.339999
of,of,of,178.08,178.23,,How,How,how,173.37,173.53
the,the,the,178.23,178.32,,about,about,about,173.53,173.76
sentence,sentence,sentence,178.32,178.74,,asking,asking,asking,173.8,174.3
are,are,are,178.74,178.85,,Javier?,Javier,javier,174.309999,174.919999
"missing,",missing,missing,178.85,179.3,,He,He,he,175.54,175.66
okay?,okay,okay,179.35,179.84,,knows,knows,knows,175.66,175.84
Look,Look,look,180.5,180.67,,a,a,a,175.84,175.9
at,at,at,180.67,180.78,,lot,lot,lot,175.9,176.09
the,the,the,180.78,180.88,,about,about,about,176.09,176.28
first,first,first,180.88,181.15,,"animals,",animals,animals,176.28,176.85
sentence:,sentence,sentence,181.15,181.68,,maybe,maybe,maybe,176.91,177.19
My,My,my,182.25,182.57,,he,he,he,177.19,177.27
cat,cat,cat,182.59,182.9,,would,would,would,177.27,177.42
is,is,is,182.93,183.14,,know,know,know,177.42,177.58
so,so,so,183.14,183.47,,something!,something,something,177.58,178.04
lazy,lazy,lazy,183.47,183.99,,Tully,Tully,tully,178.51,178.79
I,I,i,184.05,184.18,,said.,said,said,178.789999,179.079999
have,have,have,184.18,184.4,,It,It,it,179.259999,179.279999
to,to,to,184.4,184.52,,was,was,was,179.969999,180.149999
hire,hire,hire,184.52,184.85,,perfect,perfect,perfect,180.15,180.55
other,other,other,184.91,185.19,,timing,timing,timing,180.57,181.05
cats,cats,cats,185.19,185.57,,because,because,because,181.13,181.39
to,to,to,185.58,185.76,,it,it,it,181.39,181.46
take,take,take,185.76,186.02,,was,was,was,181.46,181.58
naps,naps,naps,186.02,186.39,,time,time,time,181.58,181.82
for,for,for,186.4,186.56,,for,for,for,181.82,181.97
her.,her,her,186.56,186.85,,recess.,recess,recess,181.97,182.54
Everybody,Everybody,everybody,187.49,188.01,,They,They,they,183.2,183.35
howled,howled,<unk>,188.01,188.34,,went,went,went,183.35,183.51
with,with,with,188.36,188.5,,outside,outside,outside,183.51,184
laughter.,laughter,laughter,188.51,189.07,,and,and,and,184.05,184.24
Rocket,Rocket,rocket,189.429999,189.839999,,found,found,found,184.3,184.47
fell,fell,fell,189.84,190.1,,Javier,Javier,javier,184.47,184.8
right,right,right,190.099999,190.359999,,on,on,on,184.8,184.89
out,out,out,190.4,190.58,,the,the,the,184.89,185
of,of,of,190.58,190.68,,swings.,swings,swings,185,185.47
his,his,his,190.679999,190.889999,,Hey,Hey,hey,186.26,186.65
seat.,seat,seat,190.889999,191.349999,,"guys,",guys,guys,186.67,187.21
Can,Can,can,192.059999,192.199999,,he,he,he,187.68,187.87
we,we,we,192.2,192.37,,"said,",said,said,187.87,188.17
write,write,write,192.37,192.68,,but,but,but,188.52,188.67
one,one,one,192.679999,192.939999,,he,he,he,188.679999,188.809999
for,for,for,192.94,193.12,,didn't,didn't,didn't,188.809999,188.979999
a,a,a,193.12,193.2,,look,look,look,188.98,189.15
parakeet?,parakeet,parakeet,193.2,193.93,,that,that,that,189.15,189.28
Carys,Carys,<unk>,194.15,194.6,,happy,happy,happy,189.29,189.54
asked.,asked,asked,194.599999,194.889999,,to,to,to,189.54,189.64
And,And,and,195.389999,195.559999,,see,see,see,189.639999,189.819999
my,my,my,195.559999,195.699999,,them.,them,them,189.82,190.09
box,box,box,195.7,196.07,,Alex,Alex,alex,190.98,191.31
turtle!,turtle,turtle,196.08,196.55,,and,and,and,191.34,191.46
Emily,Emily,emily,196.619999,196.979999,,Caleb,Caleb,caleb,191.46,191.85
"said,",said,said,196.99,197.29,,sat,sat,sat,191.849999,192.079999
bouncing,bouncing,bouncing,197.459999,197.869999,,in,in,in,192.08,192.15
in,in,in,197.869999,197.949999,,the,the,the,192.15,192.23
her,her,her,197.949999,198.069999,,swings,swings,swings,192.23,192.67
chair.,chair,chair,198.07,198.5,,on,on,on,192.69,192.86
"Like,",Like,like,199.1,199.52,,either,either,either,192.86,193.07
My,My,my,200,200.31,,side,side,side,193.07,193.3
turtle,turtle,turtle,200.31,200.77,,of,of,of,193.299999,193.399999
is,is,is,200.77,201.01,,him.,him,him,193.4,193.63
so,so,so,201.01,201.36,,Can,Can,can,194.46,194.58
slow,slow,slow,201.36,201.91,,you,you,you,194.58,194.69
he,he,he,202,202.55,,help,help,help,194.69,194.87
walks,walks,walks,202.56,203,,us,us,us,194.87,195.01
backwards'.,backwards,backwards,203.02,203.76,,with,with,with,195.009999,195.139999
Miss,Miss,miss,204.64,204.83,,our,our,our,195.139999,195.259999
Flores,Flores,flores,204.83,205.15,,case?,case,case,195.259999,195.709999
held,held,held,205.16,205.35,,Alex,Alex,alex,195.94,196.27
up,up,,205.34,205.45,,asked.,asked,asked,196.27,196.64
her,her,,205.45,205.57,,"Um,",Um,um,197.32,197.81
hands.,hands,hands,205.57,206.05,,"okay,",okay,okay,198.25,198.74
Emily,Emily,emily,206.41,206.85,,Javier,Javier,javier,199.73,200.13
that,that,that,206.91,207.11,,said.,said,said,200.13,200.42
was,was,was,207.11,207.27,,How,How,how,201.35,201.53
fantastic.,fantastic,fantastic,207.28,208.23,,long,long,long,201.53,201.72
"Yes,",Yes,yes,208.48,209,,can,can,can,201.72,201.89
let's,let's,let's,209.389999,209.659999,,turtles,turtles,turtles,201.89,202.29
write,write,write,209.66,209.86,,live?,live,live,202.29,202.63
one,one,one,209.86,210.11,,asked,asked,asked,203.15,203.37
for,for,for,210.11,210.31,,Tully.,Tully,tully,203.37,203.77
each,each,each,210.38,210.64,,Like,Like,like,204.62,204.85
of,of,of,210.65,210.76,,30,30,<unk>,204.87,205.22
our,our,our,210.759999,210.859999,,years,years,years,205.22,205.43
pets.,pets,pets,210.889999,211.269999,,sometimes.,sometimes,sometimes,205.43,206
But,But,but,211.69,211.9,,Interesting.,Interesting,interesting,206.929999,208.019999
"first,",first,first,211.92,212.68,,"So,",So,so,208.29,208.84
we,we,we,212.95,213.1,,it,it,it ,209.08,209.16
need,need,need,213.099999,213.219999,,would,would,would,209.17,209.33
to,to,to,213.23,213.34,,be,be,be,209.34,209.5
do,do,do,213.339999,213.509999,,neat,neat,neat,209.5,209.78
the,the,the,213.509999,213.619999,,for,for,for,209.78,209.89
assignment.,assignment,assignment,213.62,214.2,,your,your,your,209.889999,210.059999
Deal?,Deal,deal,214.51,214.97,,pet,pet,pet,210.07,210.29
Deal!,Deal,deal,215.639999,216.249999,,shop,shop,shop,210.29,210.57
everybody,everybody,everybody,216.46,216.96,,to,to,to,210.57,210.69
yelled.,yelled,yelled,216.96,217.4,,have,have,have,210.69,210.86
The,The,the,218.82,218.92,,a,a,a,210.86,210.94
next,next,next,218.92,219.2,,rare,rare,rare,210.94,211.16
"day,",day,day,219.2,219.62,,turtle,turtle,turtle,211.2,211.52
Tully,Tully,tully,219.78,220.03,,for,for,for,211.53,211.66
was,was,was,220.03,220.18,,"sale,",sale,sale,211.66,212.06
getting,getting,getting,220.18,220.43,,right?,right,right,212.23,212.53
ready,ready,ready,220.43,220.65,,Javier,Javier,javier,213.599999,213.959999
for,for,for,220.65,220.82,,cleared,cleared,cleared,213.96,214.24
school.,school,school,220.82,221.31,,his,his,his,214.24,214.36
She,She,she,222.01,222.2,,throat,throat,throat,214.359999,214.629999
dug,dug,dug,222.21,222.46,,nervously.,nervously,<unk>,215.27,215.28
through,through,through,222.46,222.69,,He,He,he,216.049999,216.209999
her,her,her,222.69,222.84,,glanced,glanced,glanced,216.21,216.56
entire,entire,entire,222.84,223.49,,at,at,at,216.56,216.68
closet,closet,closet,223.5,224.02,,Tully,Tully,tully,216.68,217.1
searching,searching,searching,224.05,224.48,,and,and,and,217.16,217.26
for,for,for,224.48,224.58,,then,then,then,217.26,217.4
the,the,the,224.58,224.7,,looked,looked,looked,217.4,217.6
right,right,right,224.7,224.96,,down,down,down,217.61,217.86
outfit,outfit,outfit,225.01,225.43,,at,at,at,217.86,217.96
to,to,to,225.429999,225.589999,,his,his,his,217.96,218.13
wear.,wear,wear,225.59,225.93,,hands.,hands,hands,218.13,218.55
"Oh,",Oh,oh,226.78,227.22,,I,I,i,219.47,220.01
dear!,dear,dear,227.259999,228.009999,,guess,guess,guess,220.16,220.44
Mom,Mom,mom,228.599999,228.919999,,so.,so,so,220.44,220.85
said,said,said,228.92,229.19,,But,But,but,221.11,221.23
as,as,as,229.19,229.31,,it's,it's,it's,221.23,221.39
she,she,she,229.309999,229.469999,,my,my,my,221.39,221.59
tried,tried,tried,229.469999,229.779999,,parents',parents,parents,221.77,222.09
to,to,to,229.78,229.86,,"store,",store,store,222.09,222.41
come,come,come,229.86,230.04,,not,not,not,222.41,222.66
into,into,into,230.04,230.27,,mine.,mine,mine,222.66,223.1
Tully's,Tully's,<unk>,230.27,230.69,,We,We,we,223.79,223.9
room.,room,room,230.69,231.06,,have,have,have,223.9,224
She,She,she,231.719999,231.899999,,a,a,a,224,224.04
peeked,peeked,peeked,231.9,232.19,,lot,lot,lot,224.04,224.2
around,around,around,232.190001,232.420001,,of,of,of,224.2,224.31
the,the,the,232.42,232.52,,other,other,other,224.32,224.53
clothes,clothes,clothes,232.52,232.84,,animals,animals,animals,224.53,224.94
mountain.,mountain,mountain,232.84,233.3,,"too,",too,too,224.96,225.41
What,What,what,233.77,234.06,,like,like,like,225.52,225.73
on,on,on,234.08,234.4,,lizards,lizards,lizards,225.76,226.29
Earth,Earth,earth,234.53,235.07,,and,and,and,226.29,226.55
is,is,is,235.17,235.38,,gerbils,gerbils,<unk>,227.13,227.14
going,going,going,235.38,235.68,,and,and,and,227.139999,227.429999
on,on,on,235.69,235.93,,kittens,kittens,kittens,227.46,227.79
in,in,in,235.93,236.07,,and,and,and,227.79,227.99
here?,here,here,236.07,236.48,,stuff.,stuff,stuff,227.99,228.37
Just,Just,just,237.21,237.48,,What,What,what,229.36,229.51
getting,getting,getting,237.48,237.68,,would,would,would,229.509999,229.629999
dressed!,dressed,dressed,237.68,238.2,,you,you,you,229.63,229.74
Tully,Tully,,238.513,238.79,,do,do,do,229.74,229.91
said.,said,said,238.79,239.1,,with,with,with,229.91,230.06
She,She,she,239.71,239.89,,a,a,a,230.059999,230.099999
climbed,climbed,climbed,239.89,240.22,,million,million,million,230.099999,230.509999
over,over,over,240.23,240.51,,bucks?,bucks,bucks,230.509999,231.049999
her,her,her,240.51,240.64,,Rocket,Rocket,rocket,231.12,231.41
"clothes,",clothes,clothes,240.64,241.1,,asked.,asked,asked,231.429999,231.839999
slid,slid,slid,241.33,241.64,,Javier,Javier,javier,232.35,232.74
down,down,down,241.64,241.83,,blinked.,blinked,blinked,232.74,233.24
the,the,the,241.83,241.97,,"Hmmm,",Hmmm,<unk>,233.85,234.13
other,other,other,241.99,242.23,,I,I,i,234.389999,234.469999
side,side,side,242.23,242.55,,don't,don't,don't,234.47,234.6
to,to,to,242.55,242.64,,know.,know,know,234.6,234.87
the,the,the,242.639999,242.749999,,Buy,Buy,buy,235.45,235.67
"floor,",floor,floor,242.75,243.22,,a,a,a,235.67,235.72
and,and,and,243.44,243.63,,zoo,zoo,zoo,235.72,236.07
showed,showed,showed,243.63,243.92,,maybe?,maybe,maybe,236.07,236.61
Mom,Mom,mom,243.92,244.19,,Why?,Why,why,237.01,237.45
her,her,her,244.19,244.33,,Just,Just,just,238.24,238.73
plain,plain,plain,244.33,244.78,,"wondering,",wondering,wondering,238.75,239.76
white,white,white,244.78,245.03,,Tully,Tully,tully,240.21,240.34
T-shirt,Tshirt,<unk>,245.259999,245.539999,,said.,said,said,240.51,240.81
and,and,and,245.599999,245.809999,,She,She,she,241.65,241.83
brown,brown,brown,245.809999,246.169999,,wrote,wrote,wrote,241.83,242.01
corduroy,corduroy,corduroy,246.17,246.68,,down,down,down,242.01,242.18
pants.,pants,pants,246.679999,247.219999,,a,a,a,242.179999,242.239999
She,She,she,247.799999,247.979999,,few,few,few,242.24,242.44
gave,gave,gave,247.98,248.21,,notes,notes,notes,242.44,242.72
Mom,Mom,mom,248.219999,248.449999,,in,in,in,242.72,242.81
a,a,a,248.45,248.5,,her,her,her,242.809999,242.909999
hug,hug,hug,248.5,248.86,,notebook.,notebook,notebook,242.91,243.43
as,as,as,249.009999,249.179999,,Suspect:,Suspect,suspect,243.809999,244.439999
Mom,Mom,mom,249.179999,249.399999,,Javier.,Javier,javier,244.63,245.33
handed,handed,handed,249.4,249.79,,Motive:,Motive,motive,245.77,246.23
Tully,Tully,tully,249.79,250.24,,profit,profit,profit,246.65,247.03
her,her,her,250.26,250.41,,from,from,from,247.03,247.21
lunch,lunch,lunch,250.41,250.71,,sale,sale,sale,247.21,247.43
box,box,box,250.709999,251.079999,,of,of,of,247.429999,247.509999
and,and,and,251.24,251.39,,Coco,Coco,coco,247.549999,247.969999
a,a,a,251.389999,251.399999,,and,and,and,248.04,248.169
breakfast,breakfast,breakfast,251.4,251.81,,her,her,her,248.17,248.42
bar.,bar,bar,251.82,252.09,,adorable,adorable,adorable,248.429999,249.009999
Tully,'Tully,<unk>,253.18,253.19,,baby,baby,baby,249.03,249.34
ran,ran,ran,253.19,253.42,,turtles.,turtles,turtles,249.339999,249.859999
outside,outside,outside,253.42,253.87,,Evidence:,Evidence,evidence,250.559999,251.099999
to,to,to,253.88,254.01,,"weird,",weird,weird,251.51,251.97
get,get,get,254.01,254.14,,nervous,nervous,nervous,251.99,252.44
on,on,on,254.14,254.25,,"behavior,",behavior,behavior,252.440001,253.010001
the,the,the,254.25,254.36,,possibly,possibly,possibly,253.39,253.95
bus,bus,bus,254.36,254.7,,because,because,because,253.95,254.22
and,and,and,254.73,254.9,,of,of,of,254.22,254.35
headed,headed,headed,254.9,255.17,,guilty,guilty,guilty,254.35,254.62
to,to,to,255.17,255.27,,conscience.,conscience,conscience,254.62,255.24
school.,school,school,255.27,255.71,,"Javier,",Javier,javier,256.09,256.67
At,At,at,256.43,256.62,,could,could,could,257.07,257.22
"school,",school,school,256.62,257.14,,you,you,you,257.22,257.31
Mrs,Mrs,mrs,257.31,257.64,,tell,tell,tell,257.31,257.49
Holmes,Holmes,holmes,257.64,257.97,,us,us,us,257.49,257.65
was,was,was,257.97,258.12,,everything,everything,everything,257.71,258.19
standing,standing,standing,258.12,258.52,,you,you,you,258.19,258.32
at,at,at,258.52,258.63,,did,did,did,258.32,258.5
the,the,the,258.63,258.73,,yesterday,yesterday,yesterday,258.5,259.05
front,front,front,258.73,259.03,,from,from,from,259.1,259.29
door,door,door,259.03,259.37,,before,before,before,259.29,259.66
greeting,greeting,greeting,259.44,259.78,,lunch,lunch,lunch,259.66,260
students,students,students,259.78,260.2,,until,until,until,260.05,260.25
as,as,as,260.2,260.34,,you,you,you,260.25,260.38
they,they,they,260.349999,260.479999,,left,left,left,260.389999,260.609999
came,came,came,260.48,260.72,,extended,extended,extended,260.61,261.06
in.,in,in,260.72,261,,day?,day,day,261.07,261.39
On,On,on,261.83,262,,Tully,Tully,tully,262.12,262.37
Wednesday,Wednesday,wednesday,262,262.39,,asked,asked,asked,262.38,262.65
mornings,mornings,mornings,262.389999,262.879999,,very,very,very,262.67,263.13
and,and,and,262.91,263.08,,seriously.,seriously,seriously,263.13,263.82
Friday,Friday,friday,263.08,263.4,,Javier's,Javier's,<unk>,264.509999,264.719999
"afternoons,",afternoons,afternoons,263.4,264.02,,face,face,face,264.96,265.24
students,students,students,264.34,264.72,,crumpled.,crumpled,crumpled,265.24,265.73
went,went,went,264.719999,264.879999,,You,You,you,266.48,266.61
upstairs,upstairs,upstairs,264.91,265.49,,think,think,think,266.62,266.86
to,to,to,265.509999,265.599999,,I,I,I,266.99,267.36
the,the,the,265.599999,265.719999,,took,took,took,267.39,267.58
library.,library,library,265.719999,266.299999,,Coco?,Coco,coco,267.589999,268.149999
The,The,the,267.219999,267.369999,,Tully,Tully,tully,268.889999,269.139999
library,library,library,267.37,267.95,,felt,felt,felt,269.139999,269.349999
was,was,was,267.95,268.12,,a,a,a,269.35,269.42
a,a,a,268.119999,268.189999,,prick,prick,prick,269.42,269.71
huge,huge,huge,268.190001,268.820001,,of,of,of,269.709999,269.849999
room,room,room,268.82,269.24,,sympathy.,sympathy,sympathy,269.85,270.35
with,with,with,269.289999,269.469999,,But,But,but,270.88,271.05
thousands,thousands,thousands,269.65,270.14,,detectives,detectives,detectives,271.05,271.56
of,of,of,270.139999,270.309999,,must,must,must,271.56,271.82
books,books,books,270.32,270.88,,be,be,be,271.82,271.96
stacked,stacked,stacked,271.06,271.39,,tough,tough,tough,271.96,272.28
on,on,on,271.39,271.59,,to,to,to,272.31,272.43
rows,rows,rows,271.59,271.84,,get,get,get,272.43,272.58
of,of,of,271.84,271.97,,the,the,the,272.58,272.67
shelves,shelves,shelves,271.97,272.35,,truth.,truth,truth,272.67,273.03
that,that,that,272.35,272.46,,"Javier,",Javier,javier,273.89,274.5
went,went,went,272.46,272.66,,we,we,we,274.58,274.76
all,all,all,272.72,272.95,,need,need,need,274.8,275.16
the,the,the,272.96,273.05,,the,the,the,275.18,275.33
way,way,way,273.05,273.18,,facts.,facts,facts,275.33,275.91
up,up,up,273.22,273.41,,Javier,'Javier,<unk>,277.03,277.38
to,to,to,273.41,273.54,,shook,shook,shook,277.39,277.59
the,the,the,273.54,273.69,,his,his,his,277.59,277.71
ceiling.,ceiling,ceiling,273.69,274.22,,head.,head,head,277.71,278
The,The,the,275.33,275.45,,I,I,i,278.65,279.02
"librarian,",librarian,librarian,275.45,276.17,,went,went,went,279.04,279.26
Mr,Mr,mr,276.32,276.64,,to,to,to,279.26,279.32
"Hornswoggle,",Hornswoggle,<unk>,276.64,277.29,,the,the,the,279.32,279.42
had,had,had,277.63,277.79,,same,same,same,279.42,279.69
to,to,to,277.79,277.82,,classes,classes,classes,279.69,280.08
use,use,use,277.82,277.97,,as,as,as,280.08,280.26
a,a,,277.96,278.7,,you,you,you,280.26,280.42
stepladder,stepladder,<unk>,278.7,278.76,,did.,did,did,280.42,280.74
to,to,to,278.76,278.84,,You,You,you,281.07,281.16
reach,reach,reach,278.84,279.06,,can,can,can,281.16,281.29
the,the,the,279.059999,279.169999,,ask,ask,ask,281.3,281.54
highest,highest,highest,279.17,279.65,,Miss,Miss,miss,281.54,281.7
books.,books,books,279.69,280.17,,Flores.,Flores,flores,281.71,282.26
Mr,Mr,mr,281.28,281.6,,I,I,i,282.62,282.73
Hornswoggle,Hornswoggle,<unk>,281.599999,282.169999,,never,never,never,282.73,283.09
really,really,really,282.19,282.55,,asked,asked,asked,283.09,283.31
loved,loved,loved,282.55,282.78,,for,for,for,283.32,283.45
books.,books,books,282.809999,283.219999,,a,a,a,283.45,283.51
He,He,he,283.66,283.87,,hall,hall,hall,283.509999,283.709999
also,also,also,283.87,284.17,,pass.,pass,pass,283.71,284.18
loved,loved,loved,284.17,284.38,,After,After,after,284.86,285.21
animals.,animals,animals,284.4,284.93,,"school,",school,school,285.21,285.8
Even,Even,even,285.61,285.9,,I,I,i,285.83,286.09
though,though,though,285.9,285.99,,walked,walked,walked,286.09,286.34
the,the,the,285.99,286.09,,to,to,to,286.35,286.44
library,library,library,286.09,286.7,,extended,extended,extended,286.440001,286.820001
was,was,was,286.709999,286.939999,,day,day,day,286.82,286.95
technically,technically,technically,286.969999,287.529999,,with,with,with,286.949999,287.089999
not,not,not,287.529999,287.709999,,Alex.,Alex,alex,287.09,287.6
a,a,a,287.709999,287.759999,,I,I,i,288.08,288.17
"classroom,",classroom,classroom,287.76,288.3,,was,was,was,288.17,288.31
he,he,he,288.59,288.79,,with,with,with,288.309999,288.459999
had,had,had,288.79,288.93,,him,him,him,288.46,288.57
more,more,more,288.93,289.08,,the,the,the,288.57,288.66
class,class,class,289.08,289.41,,whole,whole,whole,288.66,288.96
pets,pets,pets,289.44,289.76,,time.,time,time,288.96,289.49
than,than,than,289.76,289.96,,Alex,Alex,alex,290.2,290.5
any,any,any,290.06,290.35,,nodded.,nodded,nodded,290.52,290.89
of,of,of,290.35,290.47,,That,That,that,291.4,291.55
the,the,the,290.47,290.6,,is,is,is,291.55,291.71
other,other,other,290.6,290.82,,true.,TRUE,TRUE,291.71,292.15
teachers.,teachers,teachers,290.82,291.36,,"Well,",Well,well,292.76,293.13
As,As,as,292.55,292.72,,we,we,we,293.49,293.62
soon,soon,soon,292.72,292.94,,will,will,will,293.62,293.72
as,as,as,292.94,293.06,,check,check,check,293.72,293.93
they,they,they,293.06,293.2,,your,your,your,293.93,294.03
got,got,got,293.2,293.42,,alibi,alibi,alibi,294.03,294.42
to,to,to,293.42,293.59,,with,with,with,294.42,294.56
the,the,,293.515,293.61,,Miss,Miss,miss,294.56,294.74
"library,",library,library,293.61,294.2,,Flores.,Flores,flores,294.75,295.26
the,the,,294.325,294.62,,Tully,Tully,tully,295.5,295.79
Gumshoe,Gumshoe,<unk>,294.62,294.81,,said.,said,said,295.79,296.08
gang,gang,gang,294.81,295.16,,"So,",So,so,296.77,297.17
ran,ran,ran,295.17,295.45,,can,can,can,297.53,297.7
over,over,over,295.45,295.73,,I,I,i,297.7,297.85
to,to,to,295.73,295.86,,go,go,go,297.95,298.21
say,say,say,295.86,296.05,,now?,now,now,298.21,298.68
hello.,hello,hello,296.05,296.53,,Javier,Javier,javier,299.44,299.82
The,The,the,297.34,297.46,,folded,folded,folded,299.82,300.2
pets,pets,pets,297.46,297.73,,and,and,and,300.2,300.32
were,were,were,297.73,297.87,,unfolded,unfolded,unfolded,300.32,300.79
lined,lined,lined,297.87,298.14,,his,his,his,300.79,300.94
up,up,up,298.15,298.29,,hands,hands,hands,300.94,301.2
in,in,in,298.29,298.43,,in,in,in,301.2,301.3
glass,glass,glass,298.429999,298.749999,,his,his,his,301.299999,301.439999
cages,cages,cages,298.75,299.21,,lap.,lap,lap,301.44,301.74
beneath,beneath,beneath,299.21,299.51,,He,He,he,302.16,302.31
the,the,the,299.509999,299.599999,,kicked,kicked,kicked,302.309999,302.529999
windows.,windows,windows,299.599999,299.989999,,at,at,at,302.53,302.64
There,There,there,300.679999,300.909999,,the,the,the,302.639999,302.729999
was,was,was,300.91,301.29,,dirt,dirt,dirt,302.73,302.95
a,a,a,301.34,301.46,,beneath,beneath,beneath,302.95,303.22
black,black,black,301.46,301.82,,his,his,his,303.219999,303.369999
rat,rat,rat,301.82,302.1,,swing.,swing,swing,303.37,303.75
snake,snake,snake,302.099999,302.469999,,If,If,if,304.549999,304.679999
named,named,named,302.5,302.87,,you,you,you,304.68,304.8
"Zake,",Zake,<unk>,302.87,302.98,,didn't,didn't,didn't,304.799999,305.049999
a,a,a,302.98,302.99,,do,do,do,305.049999,305.229999
white,white,white,303.75,304.11,,"it,",it,it,305.23,305.45
fluffy,fluffy,fluffy,304.109999,304.519999,,then,then,then,305.73,305.86
hamster,hamster,hamster,304.52,304.98,,how,how,how,305.859999,305.989999
named,named,named,304.98,305.25,,come,come,come,305.99,306.11
"Howard,",Howard,howard,305.25,305.75,,you're,you're,you're,306.109999,306.249999
and,and,and,306.01,306.18,,acting,acting,acting,306.25,306.62
a,a,a,306.18,306.24,,so,so,so,306.62,307
gigantic,gigantic,gigantic,306.24,307.1,,strange?,strange,strange,307,307.8
tarantula,tarantula,tarantula,307.1,307.96,,Tully,Tully,tully,308.27,308.56
called,called,called,308.01,308.34,,narrowed,narrowed,narrowed,308.56,308.86
Fluffy.,Fluffy,fluffy,308.34,308.98,,her,her,her,308.86,309.02
Let,Let,let,309.64,309.83,,eyes,eyes,eyes,309.02,309.26
me,me,me,309.83,309.94,,at,at,at,309.26,309.36
tell,tell,tell,309.94,310.1,,him.,him,him,309.36,309.61
